set OGGETTI := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15;

set CONTAINER := 1 2 3 4 5 6 7 8 9 10 11 12;

param PESO :=
1 10
2 24
3 18
4 7
5 7
6 6
7 16
8 11
9 8
10 11
11 1
12 6
13 15
14 8
15 2
;

param VOLUME :=
1 260
2 140
3 190
4 220
5 180
6 250
7 170
8 200
9 140
10 170
11 190
12 230
13 230
14 180
15 250
;

param COSTO :=
1 900
2 1000
3 1200
4 1300
5 900
6 1000
7 1200
8 1300
9 900
10 1000
11 1200
12 1300
;

param CAPACITA_P :=
1 45
2 50
3 60
4 80
5 45
6 50
7 60
8 80
9 45
10 50
11 60
12 80
;

param CAPACITA_V :=
1 800
2 900
3 1000
4 1100
5 800
6 900
7 1000
8 1100
9 800
10 900
11 1000
12 1100
;
